,book_name,format,date,author,original_price,sale_price,cost_saved,discount_%,order_type
0,It Ends With Us: The most heartbreaking novel you'll ever read,Paperback,2016-08-02,Colleen Hoover,10.5,8.08,2.42,23.0,Add to basket
1,Seven Husbands of Evelyn Hugo,Paperback,2021-10-14,Taylor Jenkins Reid,11.5,7.72,3.78,32.0,Add to basket
2,Ugly Love,Paperback,2016-01-21,Colleen Hoover,11.5,8.83,2.67,23.0,Add to basket
3,This Is Vegan Propaganda,Hardback,2022-01-06,Ed Winters,22.0,25.04,7.47,33.0,Add to basket
4,Atomic Habits,Paperback,2018-11-27,James Clear,,14.53,,,Add to basket
5,The Spanish Love Deception,Paperback,2021-10-28,Elena Armas,11.5,8.83,2.67,23.0,Add to basket
6,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Paperback,2022-02-15,Mo Xiang Tong Xiu,20.5,18.35,2.15,10.0,Pre-order
7,The Witcher Boxed Set,Paperback,2020-10-01,Andrzej Sapkowski,100.5,70.55,29.95,29.0,Add to basket
8,Heaven Official's Blessing,Paperback,2021-12-14,Mo Xiang Tong Xiu,20.5,18.89,1.61,7.0,Add to basket
9,The Midnight Library,Paperback,2021-02-18,Matt Haig,11.5,8.2,3.3,28.0,Add to basket
10,The Song of Achilles,Paperback,2017-09-21,Madeline Miller,11.5,9.39,2.11,18.0,Add to basket
11,The Love Hypothesis,Paperback,2021-10-21,Ali Hazelwood,,8.98,,,Add to basket
12,Jujutsu Kaisen 0,Paperback,2021-07-31,Gege Akutami,11.5,9.54,2.52,21.0,Add to basket
13,Normal People,Paperback,2019-07-23,Sally Rooney,10.0,8.26,0.46,28.0,Add to basket
14,The Last Wish,Paperback,2020-05-12,Andrzej Sapkowski,11.5,9.25,3.24,22.0,Add to basket
15,Grandmaster of Demonic Cultivation,Paperback,2021-12-14,Mo Xiang Tong Xiu,12.0,19.28,2.75,5.0,Add to basket
16,November 9,Paperback,2015-11-11,Colleen Hoover,20.5,8.83,1.22,15.0,Add to basket
17,The Hating Game,Paperback,2017-09-07,Sally Thorne,10.5,8.83,1.67,23.0,Add to basket
18,The Daily Stoic,Paperback,2017-01-03,Ryan Holiday,11.5,10.18,2.67,,Add to basket
19,Sword of Destiny,Paperback,2020-05-27,Andrzej Sapkowski,14.5,9.81,4.32,29.0,Add to basket
20,Where the Crawdads Sing,Paperback,2019-12-20,Delia Owens,12.0,7.42,2.19,,Add to basket
21,The Psychology of Money,Paperback,2020-09-08,Morgan Housel,11.5,13.77,4.08,18.0,Add to basket
22,No Longer Human,Paperback,2020-01-01,Osamu Dazai,18.5,13.54,4.73,35.0,Add to basket
23,The Scum Villain's Self-Saving System,Paperback,2021-12-14,Mo Xiang Tong Xiu,14.5,15.33,0.96,25.0,Add to basket
24,Moleskine 2022 12-Month Weekly Large Softcover Notebook: Black,Paperback,2021-06-10,Moleskine,20.5,14.53,5.17,6.0,Add to basket
25,Moonology (TM) Diary 2022: THE SUNDAY TIMES BESTSELLER,Paperback,2021-07-27,Yasmin Boland,21.9,12.0,7.37,,Add to basket
26,Berserk Deluxe Volume 1,Hardback,2019-04-25,Kentaro Miura,16.5,49.27,4.5,25.0,Add to basket
27,The Year of Magical Thinking,Paperback,2011-08-26,Joan Didion,54.0,9.23,4.73,33.0,Add to basket
28,Reminders of Him,Paperback,2022-01-18,Colleen Hoover,10.5,14.73,1.27,27.0,Add to basket
29,Clarity & Connection,Paperback,2021-07-02,Yung Pueblo,16.5,12.74,1.77,8.0,Add to basket
30,The Body Keeps the Score,Paperback,2015-09-24,Bessel van der Kolk,17.5,11.27,4.76,,Add to basket
31,Blood of Elves: Witcher 1 - Now a major Netflix show,Paperback,2020-03-03,Andrzej Sapkowski,16.5,9.81,5.23,12.0,Add to basket
32,Verity,Paperback,2021-11-02,Colleen Hoover,13.0,13.49,3.19,10.0,Add to basket
33,The Thursday Murder Club,Paperback,2021-05-13,Richard Osman,17.5,8.59,4.01,,Add to basket
34,The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 2,Paperback,2022-04-19,Mo Xiang Tong Xiu,11.5,18.35,2.91,27.0,Pre-order
35,Before the Coffee Gets Cold,Paperback,2019-09-19,Toshikazu Kawaguchi,20.5,8.34,2.15,31.0,Add to basket
36,The Song of Achilles,Hardback,2021-09-02,Madeline Miller,11.5,19.35,3.16,24.0,Add to basket
37,"Chainsaw Man, Vol. 4",Paperback,2021-05-27,Tatsuki Fujimoto,26.0,8.92,6.65,22.0,Add to basket
38,Moonology (TM) Diary 2022: THE SUNDAY TIMES BESTSELLER,Paperback,2021-07-27,Yasmin Boland,10.5,12.0,1.58,,Add to basket
39,Rich Dad Poor Dad,Paperback,2018-10-31,Robert T. Kiyosaki,16.5,7.5,4.5,25.0,Add to basket
40,12 Rules for Life,Paperback,2019-05-07,Jordan B. Peterson,7.99,10.13,0.49,10.0,Add to basket
41,Atlas of the Heart,Hardback,2021-12-01,Brené Brown,,27.2,,,Add to basket
42,They Both Die at the End,Paperback,2017-09-07,Adam Silvera,13.5,7.13,3.37,27.0,Add to basket
43,"Good Vibes, Good Life",Paperback,2018-12-04,Vex King,10.5,9.64,3.37,25.0,Add to basket
44,The Love Hypothesis,Paperback,2021-09-28,Ali Hazelwood,14.0,14.96,4.36,15.0,Add to basket
45,A Good Girl's Guide to Murder,Paperback,2019-10-17,Holly Jackson,16.5,8.57,1.54,27.0,Add to basket
46,Slouching Towards Bethlehem,Paperback,2017-11-16,Joan Didion,10.5,8.83,1.93,6.0,Add to basket
47,Moleskine 2022 12-Month Weekly Extra Large Softcover Notebook: Black,Paperback,2021-06-10,Moleskine,11.5,17.12,2.67,24.0,Add to basket
48,Love is an Illusion! Vol. 1,Paperback,2022-08-23,Fargo,23.9,15.81,6.78,32.0,Pre-order
49,The Magic,Paperback,2012-03-06,Rhonda Byrne,17.67,11.33,1.86,31.0,Add to basket
50,The Lost Daughter,Paperback,2021-11-25,Elena Ferrante,12.0,9.78,0.67,9.0,Add to basket
51,The Silent Patient,Paperback,2020-01-15,Alex Michaelides,12.0,7.22,2.22,18.0,Add to basket
52,It Happened One Summer,Paperback,2021-09-09,Tessa Bailey,11.5,11.19,4.28,23.0,Add to basket
53,The Ritchie Boys,Paperback,2018-07-12,Bruce Henderson,12.5,11.44,1.31,28.0,Add to basket
54,My Year of Rest and Relaxation,Paperback,2019-05-02,Ottessa Moshfegh,14.0,9.6,2.56,10.0,Add to basket
55,Atomic Habits,Hardback,2018-10-16,James Clear,12.5,19.31,2.9,5.0,Add to basket
56,Fast 800 Keto,Paperback,2021-12-30,Dr Michael Mosley,19.5,9.57,0.19,18.0,Add to basket
57,"Chainsaw Man, Vol. 7",Paperback,2021-12-09,Tatsuki Fujimoto,12.5,8.89,2.93,37.0,Add to basket
58,1984,Paperback,2008-10-01,George Orwell,10.5,7.38,1.61,10.0,Add to basket
59,"Spy x Family, Vol. 2",Paperback,2020-09-17,Tatsuya Endo,8.5,9.36,1.12,18.0,Add to basket
60,Breath,Paperback,2021-07-08,James Nestor,10.0,10.17,0.64,23.0,Add to basket
61,"Jujutsu Kaisen, Vol. 9",Paperback,2021-05-13,Gege Akutami,12.5,9.25,2.33,23.0,Add to basket
62,"Beautiful World, Where Are You",Hardback,2021-09-07,Sally Rooney,10.0,11.81,0.75,15.0,Add to basket
63,If We Were Villains,Paperback,2017-06-13,M. L. Rio,22.0,9.12,10.19,13.0,Add to basket
64,"The Boy, The Mole, The Fox and The Horse",Hardback,2019-11-04,Charlie Mackesy,11.5,15.28,2.38,6.0,Add to basket
